Location,Acronym,Notes
Pacific Islands Inventory and Monitoring Network,PIN,
Pinnacles NM,PINN,
Pipestone NM,PIPE,
Pictured Rocks NL,PIRO,
Piscataway Park,PISC,
Pacific Islands Support Office,PISO,
Pipe Spring NM,PISP,
Pony Express NHT,POEX,
Poplar Grove National Cemetery,POGR,
Potomac Heritage NST,POHE,
Poverty Point NM,POPO,
Point Reyes NS,PORE,
Presidio of San Francisco,PRES,
President's Park,PRPA,
Prince William Forest Park,PRWI,
Puukohola Heiau NHS,PUHE,
Pu'uhonua o Honaunau NHP,PUHO,
Pacific West Region,PWRO,
Rainbow Bridge NM,RABR,
Red Cliffs,Red Cliffs,
Redwood NP,REDW,
Richmond NBP,RICH,
Rio Grande WSR,RIGR,
Rio Puerco,Rio Puerco,
Roosevelt Campobello International Park,ROCA,
Rock Creek Park,ROCR,
Ross Lake NRA,ROLA,
Rocky Mountain NP,ROMO,
Roosevelt Lake,Roosevelt Lake,
Home of Franklin D. Roosevelt NHS and Roosevelt-Vanderbilt Headquarters,ROVA,
Roger Williams Nmem,ROWI,
"Rivers, Trails, and Conservation Assistance",RTCA,
Russell Cave NM,RUCA,
San Antonio Missions NHP,SAAN,
Saint Croix/Lower St. Croix NSR,SACN,
Saint Croix Island International Historic Site,SACR,
Santa Fe NHT,SAFE,
San Francisco Maritime NHP,SAFR,
Saint-Gaudens NHS,SAGA,
Saguaro NP,SAGU,
Sagamore Hill NHS,SAHI,
Saugus Iron Works NHS,SAIR,
San Juan Island NHP,SAJH,
San Juan NHS,SAJU,
Salem Maritime NHS,SAMA,
Santa Monica Mountains NRA,SAMO,
San Juan County,San Juan County,
San Juan County NM,San Juan County NM,
San Juan Cty UT,San Juan Cty UT,
San Pedro River,San Pedro River,
Saint Paul's Church NHS,SAPA,
Salinas Pueblo Missions NM,SAPU,
Saratoga NHP,SARA,
Salt River Bay NHP & Ecological Pres,SARI,
Scotts Bluff National Monument,SCBL,
Southern Colorado Plateau Inventory and Monitoring Network,SCPN,
,,Correct record(s) from SDN to SODN
SE Utah,SE Utah,
Southeast Archeological Center,SEAC,
"Southern Arizona Group (CORO, CHIR, FOBO)",SEAZ,
Sewall-Belmont House NHS,SEBE,
Sequoia and Kings Canyon National Parks,SEKI,
Southeast Region,SERO,
Southeast Support Office,SESO,
"Southeast Utah Group (ARCH, CANY, HOVE, NABR)",SEUG,
BLM St. George Field Office,SGFO,
Shenandoah NP,SHEN,
Shiloh National Cemetery,SHIC,
Shiloh NMP,SHIL,
Sierra Nevada Inventory and Monitoring Network,SINE,
Sitka NHP,SITK,
Sleeping Bear Dunes NL,SLBE,
Southern Arizona Office,SOAR,
Sonoran Desert Inventory and Monitoring Network,SODN,
Southern Plains Inventory and Monitoring Network,SOPN,
South Fork of Snake River,South Fork of Snake River,
Southeast UT,Southeast UT,
Southern CO,Southern CO,
Springfield Armory NHS,SPAR,
Intermountain Spanish Colonial Res. Ctr.,SPCO,
Sonoran Desert Parks Network,SRNR,
Steamtown NHS,STEA,
Statue of Liberty NM,STLI,
Stephen T. Mather Training Center,STMA,
Stones River National Cemetery,STRC,
Stones River NB,STRI,
Sunset Crater Volcano NM,SUCR,
Southwest Border Resource Protection Program,SWBPP,
Southwest Exotic Plant Management Team,SWEMPT,
Southwest Regional Office,SWRO,
Southwestern Rare Plant Taskforce ,SWRPT,
Tallgrass Prairie NPres,TAPR,
Thaddeus Kosciuszko NMem,THKO,
Theodore Roosevelt Birthplace NHS,THRB,
Theodore Roosevelt Inaugural NHS,THRI,
Theodore Roosevelt NP,THRO,
Thomas Stone NHS,THST,
Timpanogos Cave NM,TICA,
Timucuan Ecological & Hist Preserve,TIMU,
Tonto NM,TONT,
Touro Synagogue NHS,TOSY,
Trail of Tears NHT,TRTE,
Tuskegee Airmen NHS,TUAI,
Tuskegee Institute NHS,TUIN,
Tumacacori NHP,TUMA,
Tupelo NB,TUPE,
,,Correct record(s) from TUZE to TUZI in Summit
Tuzigoot NM,TUZI,
,,Correct record(s) from TUZO to TUZI in Summit
Uinta Basin UT,Uinta Basin UT,
Ulysses S. Grant NHS,ULSG,
United States Park Police,UNST,
Upper Delaware Scenic and Recreational River,UPDE,
U.S.S. Arizona Memorial,USAR,
Utah,UT,
Valley Forge NHP,VAFO,
Vanderbilt Mansion NHS,VAMA,
Unknown,VENM,
Vernal Field Office Boundary,Vernal Field Office Boundary,
Vicksburg National Cemetery,VICC,
Vicksburg NMP,VICK,
Vietnam Veterans Memorial,VIET,
Virgin Islands NP,VIIS,
Voyageurs NP,VOYA,
Washita Battlefield NHS,WABA,
Walnut Canyon NM,WACA,
Western Archeological and Conservation Center,WACC,
War in the Pacific NHP,WAPA,
Washington Monument,WASH,
Washington Servicing Office,WASO,
Weir Farm NHS,WEFA,
"White House Liaison, Office of",WHHO,
Whiskeytown-Shasta-Trinity NRA,WHIS,
Whitman Mission NHS,WHMI,
White Sands NM,WHSA,
Wind Cave NP,WICA,
Wilson's Creek NB,WICR,
William Howard Taft NHS,WIHO,
Women's Rights NHP,WORI,
Wolf Trap Farm Park for the Performing Arts,WOTR,
Wright Brothers NMem,WRBR,
Water Resources Division,WRD,
Wrangell-St.Elias NP and NPres,WRST,
Wupatki NM,WUPA,
Wyoming Public Lands,WY Public Lands,
Yellowstone NP,YELL,
Yucca House NM,YOHO,
Yorktown National Cemetery,YORK,
Yosemite NP,YOSE,
Yukon-Charley Rivers Npres,YUCH,
"Yuma, AZ",Yuma,
Zion NP,ZION,
